,KOday0_1,KOday0_2,WTday0_1,WTday0_2,WTday1_1,WTday1_2,WTday5_1,WTday5_2
0610005C13Rik,1,0,3,2,6,5,6,4
0610007P14Rik,755,677,721,627,1380,1244,253,315
0610009B22Rik,207,177,209,173,279,285,282,369
0610009L18Rik,16,20,17,23,11,5,14,19
0610009O20Rik,397.5,389.18,451.74,439.46,380.05,378.94,681.71,741.58
0610010B08Rik,385.04,302.77,746.52,331.45,287.52,185.67,175.34,284.33
0610010F05Rik,628,574,694,600,345,335,822,895
0610010K14Rik,398,411,469,509,422,465,331,363
0610011F06Rik,55,68,52,43,69,82,187,210
0610012G03Rik,355,378,385,449,298,273,931,1054
0610030E20Rik,443,425,448,444,390,399,498,560
0610031O16Rik,0,0,0,0,0,0,0,0
0610037L13Rik,436,403,485,573,257,272,262,276
0610038B21Rik,19.24,16.19,20.08,26.24,14.12,14.52,15.41,17.08
0610039H22Rik,0,0,0,1,0,0,0,0
0610039K10Rik,5.41,2.19,3.17,2.1,4.31,1.08,3.2,0
0610040B10Rik,9,3,7,4,16,10,18,32
0610040F04Rik,0,1,0,1,0,0,2.06,0
0610040J01Rik,1,2,2,1,0,0,0,0
0610043K17Rik,2,5,6,0,7,1,15,14
1010001N08Rik,13,9,17,26,30,21,25,22
1110001J03Rik,87,89,129,135,52,79,391,418
1110002L01Rik,311.28,248.64,208.91,138.01,361.9,340.45,81.82,132.35
1110004E09Rik,235,244,299,276,133,160,305,337
1110004F10Rik,1751,1743,1415,1474,1477,1489,1016,1247
1110006O24Rik,10,11,18,10,13,7,18,12
1110007C09Rik,310,299,218,264,170,176,438,420
1110008F13Rik,1893.38,1851.23,2121.5,2036.96,1958.48,2085.78,4498.92,5932.65
1110008L16Rik,181.5,186.27,163.85,145.93,216.41,216.02,228.95,291.35
1110008P14Rik,128,126,96,146,175,168,970,1118
1110012L19Rik,204,184,226,277,328,351,259,278
1110015O18Rik,0,0,0,0,0,0,0,0
1110017D15Rik,0,0,4,0,2,3,1,2
1110019D14Rik,34,36,34,32,70,54,46,66
1110020A21Rik,1,2,0,3,2,1,9,7
1110025L11Rik,0,0,0,0,0,0,0,0
1110028F11Rik,0,0,1,0,0,0,0,0
1110028F18Rik,0,0,0,0,0,0,0,0
1110032A03Rik,93,88,69,93,204,220,403,435
1110032F04Rik,2,2,2,0,0,0,0,1
1110034G24Rik,53,35,63,50,27,37,40,53
1110036E04Rik,0,0,0,0,0,0,0,0
1110037F02Rik,1965,1770,2191,1760,1714,1713,1452,1568
1110038B12Rik,614,617,831,872,921,931,408,519
1110038F14Rik,301,331,460,441,277,318,202,238
1110046J04Rik,113,116,101,125,78,57,66,56
1110051M20Rik,216,216,237,275,241,225,78,103
1110058D11Rik,1,1,0,2,0,1,0,0
1110059E24Rik,462,418,456,465,336,383,353,481
1110059G10Rik,194,199,186,208,177,180,203,243
1110065P20Rik,242.99,261.47,346.08,302.11,245.17,231.64,272.42,364.94
1190002F15Rik,80,82,129,147,129,132,14,19
1190002N15Rik,915,919,1028,856,816,876,720,984
1190003K10Rik,0,0,0,0,0,0,0,0
1190005I06Rik,0,0,0,1.3,0,1.36,48.88,48.45
1190007I07Rik,42,28,28,29,33,32,117,154
1200014J11Rik,898,753,965,826,635,659,629,659
1300002E11Rik,79,74,104,109,104,116,128,190
1300017J02Rik,0,0,3,2,2,1,1,3
1500004A13Rik,68.07,60.83,72.14,57.58,77.48,85.13,52.56,57.87
1500009C09Rik,0,0,0,0,1,0,0,0
1500009L16Rik,14,18,18,28,17,29,11,11
1500011B03Rik,102,101,143,141,159,172,136,115
1500011K16Rik,149,141,224,180,148,166,266,302
1500012F01Rik,650,651.86,1017,971.91,1351,1366,816,910
1500012K07Rik,0,0,0,0,0,0,0,0
1500015A07Rik,36,40,44,42,30,32,23,21
1500015L24Rik,0,1,0,0,0,0,0,1
1500015O10Rik,8,1,9,12,38,31,74,106
1500017E21Rik,11.85,2.7,2.66,0,0,0,0,5.39
1500026H17Rik,1,2,1,0,2,0,2,6
1600002D24Rik,0,0,0,0,0,0,0,0
1600002H07Rik,189,172,199,209,200,166,98,76
1600002K03Rik,123,113,162,175,111,108,85,90
1600010M07Rik,5,1,3,2,0,2,2,1
1600012H06Rik,870.67,737.26,861.99,801.01,809.3,818.83,707.52,895.4
1600014C10Rik,453,471,598,551,655,672,2103,2530
1600014C23Rik,1,2,0,0,2,1,1,2
1600014K23Rik,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,1,0,0,0,0,0
1600020E01Rik,23,20,34,36,50,62,41,45
1600023N17Rik,2,2,3,0,2,1,1,1
1600025M17Rik,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,1,2,0,1,0,1
1600029I14Rik,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,1,0,0,1,12,9
1700001C02Rik,0,1,0,0,0,0,0,1
1700001C19Rik,1,1,0,1,2,1,1,2
1700001D01Rik,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0
1700001G11Rik,2.01,3.01,9.04,2.02,7.08,14.2,14.06,11.02
1700001G17Rik,3,4,1,1,3,3,6,1
1700001J03Rik,0,0,0,0,1,1,3,5
1700001J11Rik,0,0,2.01,0,2.65,1,0,0
1700001K19Rik,4,1,5,4,2,1,2,2
1700001K23Rik,0,0,0,0,1,2,0,2
1700001L05Rik,50,37,37,37,54,46,68,91
1700001L19Rik,0,2,1,1,1,0,1,0
1700001O22Rik,5,3,8,7,6,9,7,8
1700001P01Rik,0,0,0,1,0,0,0,0
1700003C15Rik,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,1,0
1700003E16Rik,8,15,15,26,6,15,8,5
1700003E24Rik,0,0,0,1,0,0,0,0
1700003F12Rik,39,25,46,65,2,4,34,29
1700003G13Rik,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0
1700003M02Rik,0,0,0,1,0,0,0,0
1700003M07Rik,4,1,6,7,1,0,2,0
1700003P14Rik,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,1
1700006H21Rik,0,0,0,0,0,0,0,0
1700007B14Rik,1,1,1,0,1,0,1,1
1700007F19Rik,0,0,0,0,0,0,0,0
1700007G11Rik,0,0,0,2,0,0,0,0
1700007J10Rik,3.09,4.15,4.1,2.04,3.14,1.05,7.29,4.12
1700007K09Rik,2,3,2,1,0,0,0,2
1700007K13Rik,4,1,5,10,11,4,6,7
1700007L15Rik,9,14,15,22,44,45,18,26
1700007P06Rik,0,1,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0,0,0
1700008J07Rik,42.94,22.68,34.43,49.61,36.33,39.1,41.89,45.02
1700008K24Rik,0,0,0,0,0,0,0,0
1700008O03Rik,2,2,2,6,2,3,2,0
1700008P02Rik,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,1,0,0,3
1700009J07Rik,0,0,1,0,0,0,0,0
1700009N14Rik,35,31,28,29,0,0,0,2
1700010B08Rik,0,1,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,1,0,0
1700010I02Rik,0,0,0,0,0,0,0,0
1700010I14Rik,43,34,23,29,11,18,11,9
1700010J16Rik,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0.75,0,0,0,0
1700011A15Rik,2,1,1,2,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,0
1700011C11Rik,0,0,0,0,0,0,0,0
1700011E24Rik,1,0,0,0,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0
1700012B07Rik,1,0,0,1,0,0,0,0
1700012B09Rik,0,0,1,0,0,0,0,0
1700012C14Rik,0,0,0,0,0,0,0,0
1700012D01Rik,7,7,11,9,16,8,20,19
1700012D14Rik,3,1,2,2,2,4,2,1
1700012D16Rik,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0
1700012L04Rik,0,0,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,1,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0
1700015E13Rik,0,0,0,0,0,2,0,2
1700015F17Rik,0,1,2,0,1,0,0,1
1700015G11Rik,0,0,0,0,0,0,0,0
1700016C15Rik,0,0,0,0,0,0,0,0
1700016D06Rik,0,0,0,0,0,0,0,0
1700016G22Rik,0,0,1,0,0,0,0,0
1700016H13Rik,0,1,0,0,0,0,0,0
1700016K19Rik,0,1,2,0,0,0,0,0
1700016L04Rik,0,0,1,0,0,0,1,0
1700016L21Rik,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0
1700017B05Rik,1605,1495,1155,1196,1721,1648,842,927
1700017D01Rik,1,0,0,0,0,0,0,0
1700017G19Rik,0,0,1,0,1,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0
1700017L05Rik,2,0,0,0,0,0,1,0
1700017N19Rik,1,0,1,0,0,0,0,0
1700018A04Rik,0,1,0,0,0,0,0,0
1700018B08Rik,0,0,0,0,0,1,0,0
1700018B24Rik,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,0,0,0,0,1,0
1700018F24Rik,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0
1700018L02Rik,20.6,11.86,28.18,34.26,16.22,26.32,72.16,68.63
1700019A02Rik,0,0,0,0,0,0,0,0
1700019B03Rik,0,0,0,0,1,0,0,1
1700019B21Rik,0,0,0,0,0,0,0,0
1700019C18Rik,0,0,0,0,0,0,0,0
1700019D03Rik,18,25,8,15,15,9,0,2
1700019E08Rik,0,0,0,0,0,0,0,0
1700019G17Rik,21,17,23,25,34,42,28,35
1700019G24Rik,0,0,0,0,0,0,0,0
1700019L03Rik,26.7,21.51,27.58,27.52,24.33,16.47,20.34,18.64
1700019M22Rik,0,0,0,0,0,0,0,0
